"jobNum","LOCATION","projectNum","stateNUM","cardNUM","Active"
"0455","M-50 from Barnum St to Lewis Ave","BIO4 58032","50651A",,0
"0456","M-53 from 18 Mile Rd to Utica Rd","ANH 50011","47197A","4590",0
"0457","I-75 & I-696 various locations","NHG 63172","74222A",,0
"0458","M-37 at Peach Ridge","STH 41033","74527A",,0
"0459","NB I-75 From M-46 to I-675","73111","74264",,0
"0460","M-59 & Adams interchange in the cities of Rochester & Auburn Hills","NH 63043","77201A","4472",0
"0461","M-53 under 22 Mile Rd","MER 50013","78523A",,0
"0054","On M-59 from Oak Grove Road easterly to Whitmore Lake Road","NHG 84917","87256A",,0
"0055","US-27 at M-57, Washington Township, Gratiot County","NH 29011","43893A",,0
"0056","I-94 northerly to I-94BL in the city of Battle Creek, Calhoun County","IMG 13033","46986A",,0
"0057","TODS Program (Continuation)",,,,0
"0058","On US-24 from Long Lake northerly to Square Lake Road","NH 63031","45714A",,0
"0059","M-15 from I-75 northerly to Genesee County Line in Independence, Brandon and Groveland Townships, Oa","M 63071","49287A",,0
"0060","M-21 & M-21 Connector/Genesee County","STG 25081","47004A",,0
"0061","M-20 & US-10 Business Rte.","STG 56051","47002A",,0
"0062","Curtisville & Summers Road From M-33 East , Oscoda County","68020","47725A",,0
"0063","US 131 in Kent County","M 411132","38209A",,0
"0064","I-94 Eastbound Exit Ramp to Oakwood Blvd. I-75 Exit Ramp to M-85, Wayne County","IM 82022","51868A",,0
"0065","I-696, Northwestern Hwy. & Telegraph","IM 63101","38103A",,0
"0066","Various Roads in Calhoun County","M 13016","52532A",,0
"0067","M-63, Berrien County","BHT 11053","47965A",,0
"0068","I-69 from M-24 easterly to M-19, in Lapeer & St. Clair Counties","IMG 44044","46981A",,0
"0069","Rochester Road & I-75",,,,0
"0070","Sign Up-grading on M-142 from M-53 easterly to M-25, Huron Co.","STG 32022","52104A",,0
"0071","Blue Water Bridge/Nexus Lane Project",,,,0
"0172","On M-20 from US-31 easterly to Remus, On US-31BR  in Muskegon, Mecosta, Oceana & Newaygo Counties","STG 54022","52197A",,0
"0173","South Beltline Job, Grand Rapids","NH 41064","33333A",,0
"0174","M-19 in St. Clair and Macomb Counties","STG 50091","52101A",,0
"0175","Misc. Locations in Various Counties","NHG 84916","53182A",,0
"0176","US-131 BR and old 131, Various Counties","STG 54011","52198A",,0
"0177","M-46, M-52 to Saginaw City Limits","NH 73062","45840A",,0
"0178","M-53 from south of 18 Mile to North of 27 Mile, Macomb County","NH 50013","45729A",,0
"0179","On US-23 from M-59 North, Hartland & Tyrone Twps. Livingston County","NH 47014","43499A",,0
"0180","I-96 from I-69 to US-127, Clinton, Eaton & Ingham Counties","IMG 19022","46980A",,0
"0181","I-75 from Monroe North to Sibley Rd. Wayne County","IMG 82191","53357A",,0
